"TestId","TagId","Date","Time","No.Nodes","x.est","y.est","x.ci.lower","x.ci.upper","y.ci.lower","y.ci.upper"
"072D524C 2021-08-03 16:36:00","072D524C","2021-08-03","16:36:00",3,411615.971915356,4261126.85103821,410560.882577862,412671.061252849,4260293.64268209,4261960.05939433
"072D524C 2021-08-03 16:38:00","072D524C","2021-08-03","16:38:00",3,411091.81032992,4261054.66393348,410757.430660639,411426.189999201,4260527.6311945,4261581.69667246
"072D524C 2021-08-03 16:40:00","072D524C","2021-08-03","16:40:00",3,411257.073847072,4261034.68066253,411224.437501015,411289.71019313,4261011.86452203,4261057.49680303
"072D524C 2021-08-03 16:41:00","072D524C","2021-08-03","16:41:00",4,411504.970488344,4261140.69743455,411265.01487895,411744.926097739,4260962.72240655,4261318.67246254
"072D524C 2021-08-03 16:43:00","072D524C","2021-08-03","16:43:00",3,411563.699103239,4260644.47774906,410474.300504289,412653.097702188,4260012.8509741,4261276.10452403
"072D524C 2021-08-03 16:47:00","072D524C","2021-08-03","16:47:00",3,411431.515365547,4261060.36045501,411351.708826758,411511.321904335,4261001.38227755,4261119.33863246
"072D524C 2021-08-03 16:49:00","072D524C","2021-08-03","16:49:00",3,411628.344806737,4261140.84187645,411035.1841815,412221.505431974,4260626.0458227,4261655.63793019
"072D524C 2021-08-03 16:50:00","072D524C","2021-08-03","16:50:00",3,411644.269618719,4261149.67640219,411318.60102419,411969.938213248,4260837.66621957,4261461.68658481
"072D524C 2021-08-03 16:51:00","072D524C","2021-08-03","16:51:00",3,411650.706902333,4261100.17078815,411052.436116921,412248.977687745,4260431.29886749,4261769.04270882
"072D524C 2021-08-03 16:52:00","072D524C","2021-08-03","16:52:00",3,411416.036206844,4261041.74239203,411376.11454614,411455.957867549,4261010.03214102,4261073.45264303
"072D524C 2021-08-03 16:53:00","072D524C","2021-08-03","16:53:00",3,411419.45334577,4261036.93182931,411339.600319969,411499.306371571,4260974.3230572,4261099.54060142
"072D524C 2021-08-03 16:54:00","072D524C","2021-08-03","16:54:00",3,411422.590622724,4261038.57823168,411226.456923128,411618.72432232,4260886.60419778,4261190.55226558
"072D524C 2021-08-03 16:57:00","072D524C","2021-08-03","16:57:00",3,411423.550585028,4261045.77855817,411205.861216325,411641.239953731,4260878.00801181,4261213.54910453
"072D524C 2021-08-03 17:05:00","072D524C","2021-08-03","17:05:00",3,411436.398485797,4261049.05768431,411197.946811229,411674.850160364,4260873.43935388,4261224.67601474
"072D524C 2021-08-03 17:06:00","072D524C","2021-08-03","17:06:00",3,411635.793204911,4261101.14839068,410843.251172425,412428.335237396,4260320.26150908,4261882.03527228
"072D524C 2021-08-03 17:08:00","072D524C","2021-08-03","17:08:00",3,411721.39947539,4260965.18916672,411476.76482021,411966.03413057,4260562.13415688,4261368.24417657
"072D524C 2021-08-03 17:11:00","072D524C","2021-08-03","17:11:00",5,411534.012678317,4261242.78319588,411389.659672213,411678.36568442,4261100.15225361,4261385.41413815
"072D524C 2021-08-03 17:12:00","072D524C","2021-08-03","17:12:00",5,411515.004180012,4261404.04428499,411440.729105276,411589.279254747,4261327.11370446,4261480.97486551
"072D524C 2021-08-03 17:14:00","072D524C","2021-08-03","17:14:00",5,411333.732911347,4261599.95196466,411114.70116183,411552.764660864,4261306.27033456,4261893.63359476
"072D524C 2021-08-03 17:15:00","072D524C","2021-08-03","17:15:00",4,411369.084964862,4261710.46440696,411350.968250213,411387.201679511,4261695.7737894,4261725.15502452
"072D524C 2021-08-03 17:16:00","072D524C","2021-08-03","17:16:00",3,411212.326700223,4261788.51804806,410822.432349516,411602.221050931,4261412.79233374,4262164.24376238
"072D524C 2021-08-03 17:17:00","072D524C","2021-08-03","17:17:00",7,411068.549844324,4261828.80637137,411024.430248173,411112.669440475,4261790.46390017,4261867.14884257
"072D524C 2021-08-03 17:18:00","072D524C","2021-08-03","17:18:00",7,411040.406716448,4261834.90158515,410885.476664646,411195.33676825,4261693.79751272,4261976.00565757
"072D524C 2021-08-03 17:19:00","072D524C","2021-08-03","17:19:00",5,411151.766485172,4261802.33966385,411020.685214227,411282.847756118,4261652.45343277,4261952.22589493
"072D524C 2021-08-03 17:20:00","072D524C","2021-08-03","17:20:00",4,411114.80901159,4261779.24250156,411021.492778435,411208.125244745,4261662.62053921,4261895.86446392
"072D524C 2021-08-03 17:21:00","072D524C","2021-08-03","17:21:00",5,411052.016603881,4261168.38196339,410780.755297915,411323.277909847,4260926.98340254,4261409.78052424
"072D524C 2021-08-03 17:22:00","072D524C","2021-08-03","17:22:00",3,411151.9237059,4261213.66521821,410157.214098227,412146.633313573,4259805.68374425,4262621.64669217
"072D524C 2021-08-03 17:23:00","072D524C","2021-08-03","17:23:00",5,411029.641600566,4261217.15533589,410930.703179364,411128.580021768,4261102.03619578,4261332.27447601
"072D524C 2021-08-03 17:24:00","072D524C","2021-08-03","17:24:00",3,410953.861483146,4261193.08760462,410795.499806743,411112.223159549,4260888.70083205,4261497.4743772
"072D524C 2021-08-03 17:25:00","072D524C","2021-08-03","17:25:00",3,410939.156200729,4261222.58012933,410854.084008482,411024.228392975,4261023.10502117,4261422.05523749
"072D524C 2021-08-03 17:26:00","072D524C","2021-08-03","17:26:00",5,411051.521732905,4261217.08477362,410933.602130146,411169.441335664,4261083.4708746,4261350.69867264
"072D524C 2021-08-03 17:27:00","072D524C","2021-08-03","17:27:00",5,411029.255993378,4261160.78718557,410773.850917073,411284.661069683,4260951.54210984,4261370.03226131
"072D524C 2021-08-03 17:28:00","072D524C","2021-08-03","17:28:00",3,411241.344593941,4261602.18997806,410127.59763245,412355.091555432,4260558.1772635,4262646.20269261
"072D524C 2021-08-03 17:29:00","072D524C","2021-08-03","17:29:00",4,411087.032106594,4261720.50451282,410964.080428113,411209.983785076,4261513.97356864,4261927.03545699
"072D524C 2021-08-03 17:30:00","072D524C","2021-08-03","17:30:00",4,411079.487438552,4261623.51084039,410785.742896483,411373.231980622,4261262.42730671,4261984.59437408
"072D524C 2021-08-03 17:31:00","072D524C","2021-08-03","17:31:00",5,411083.120384357,4261637.80301665,410929.934634875,411236.306133838,4261530.29853489,4261745.30749841
"072D524C 2021-08-03 17:32:00","072D524C","2021-08-03","17:32:00",3,411121.712140372,4261636.82535745,409801.255019487,412442.169261256,4260415.55917834,4262858.09153657
"072D524C 2021-08-03 17:33:00","072D524C","2021-08-03","17:33:00",4,411144.992655451,4261656.2041342,410823.15549676,411466.829814142,4261279.24801587,4262033.16025253
"072D524C 2021-08-03 17:34:00","072D524C","2021-08-03","17:34:00",3,411046.817531042,4261664.67842058,409343.701424443,412749.933637641,4259796.40030095,4263532.95654021
"072D524C 2021-08-03 17:35:00","072D524C","2021-08-03","17:35:00",5,411214.686377875,4261729.33505017,410855.933150897,411573.439604853,4261402.37428202,4262056.29581832
"072D524C 2021-08-03 17:36:00","072D524C","2021-08-03","17:36:00",6,411176.721469289,4261560.37901547,411046.874461663,411306.568476916,4261403.96301099,4261716.79501995
"072D524C 2021-08-03 17:37:00","072D524C","2021-08-03","17:37:00",6,411001.801541444,4261718.24438424,410804.261655626,411199.341427263,4261531.74364672,4261904.74512176
"072D524C 2021-08-03 17:38:00","072D524C","2021-08-03","17:38:00",4,411027.47709559,4261596.16289142,410575.522211259,411479.43197992,4261151.89668958,4262040.42909326
"072D524C 2021-08-03 17:39:00","072D524C","2021-08-03","17:39:00",6,410990.120627247,4261729.68335151,410891.225733631,411089.015520864,4261600.92279178,4261858.44391125
"072D524C 2021-08-03 17:40:00","072D524C","2021-08-03","17:40:00",7,411058.868701444,4261688.46474811,410991.520208089,411126.2171948,4261614.43485781,4261762.49463842
"072D524C 2021-08-03 17:41:00","072D524C","2021-08-03","17:41:00",7,411169.128355663,4261794.37316097,411020.601080177,411317.655631148,4261662.41877984,4261926.32754209
"072D524C 2021-08-03 17:42:00","072D524C","2021-08-03","17:42:00",5,411159.26923081,4261775.50307555,411083.757760338,411234.780701282,4261693.38140173,4261857.62474937
"072D524C 2021-08-03 17:43:00","072D524C","2021-08-03","17:43:00",7,411107.249828553,4261886.54124132,410999.00292221,411215.496734896,4261767.95138666,4262005.13109597
"072D524C 2021-08-03 17:44:00","072D524C","2021-08-03","17:44:00",4,411048.749333523,4261962.45486364,410885.361102144,411212.137564902,4261855.06598218,4262069.8437451
"072D524C 2021-08-03 17:45:00","072D524C","2021-08-03","17:45:00",5,411089.378070003,4261978.75702409,410902.091563164,411276.664576842,4261859.33511877,4262098.1789294
"072D524C 2021-08-03 17:46:00","072D524C","2021-08-03","17:46:00",7,410916.655216045,4261880.52446735,410854.964505692,410978.345926397,4261817.05804932,4261943.99088539
"072D524C 2021-08-03 17:47:00","072D524C","2021-08-03","17:47:00",4,410851.058370275,4261828.6771248,410556.221390154,411145.895350396,4261562.28990891,4262095.06434069
"072D524C 2021-08-03 17:48:00","072D524C","2021-08-03","17:48:00",5,410702.396868685,4261848.92517237,410616.644164214,410788.149573156,4261769.18213543,4261928.66820931
"072D524C 2021-08-03 17:51:00","072D524C","2021-08-03","17:51:00",3,411267.449696944,4262288.59992645,411001.135301408,411533.76409248,4261607.19955488,4262970.00029803
"072D524C 2021-08-04 16:12:00","072D524C","2021-08-04","16:12:00",4,411607.923897088,4261482.54573689,411589.510213499,411626.337580677,4261467.7328119,4261497.35866189
"072D524C 2021-08-04 16:13:00","072D524C","2021-08-04","16:13:00",6,411438.149765221,4261272.3728521,411367.280980203,411509.01855024,4261214.24281595,4261330.50288824
"072D524C 2021-08-04 16:14:00","072D524C","2021-08-04","16:14:00",3,411435.778032529,4261307.99595692,410525.875017159,412345.681047899,4260454.20576588,4262161.78614796
"072D524C 2021-08-04 16:26:00","072D524C","2021-08-04","16:26:00",4,410859.161681767,4262317.17798102,410326.053775571,411392.269587962,4261962.17064522,4262672.18531681
"072D524C 2021-08-04 16:27:00","072D524C","2021-08-04","16:27:00",3,410832.918425579,4261191.24486803,410283.961399773,411381.875451386,4260505.03569003,4261877.45404604
"072D524C 2021-08-04 16:28:00","072D524C","2021-08-04","16:28:00",4,410384.833056961,4261847.03824397,409743.937507201,411025.72860672,4260631.52362198,4263062.55286595
"072D524C 2021-08-04 16:29:00","072D524C","2021-08-04","16:29:00",3,410654.802368493,4261746.7845582,409661.329174388,411648.275562598,4261053.01668302,4262440.55243338
"072D524C 2021-08-04 16:30:00","072D524C","2021-08-04","16:30:00",4,410626.894700528,4261860.36702352,410389.531662343,410864.257738713,4261580.06500159,4262140.66904546
"072D524C 2021-08-04 16:31:00","072D524C","2021-08-04","16:31:00",5,410726.476630784,4261886.53127388,410540.985920109,410911.967341459,4261689.56960141,4262083.49294635
"072D524C 2021-08-04 16:32:00","072D524C","2021-08-04","16:32:00",6,410859.653806808,4261856.56019443,410647.708731573,411071.598882042,4261660.28049337,4262052.83989549
"072D524C 2021-08-04 16:33:00","072D524C","2021-08-04","16:33:00",7,410877.877995891,4261869.23469608,410720.217303465,411035.538688316,4261737.39418615,4262001.07520601
"072D524C 2021-08-04 16:34:00","072D524C","2021-08-04","16:34:00",5,410880.338063522,4261834.06997484,410712.178339047,411048.497787996,4261677.02548117,4261991.11446852
"072D524C 2021-08-04 16:35:00","072D524C","2021-08-04","16:35:00",6,410915.556393962,4261830.75728536,410757.188082055,411073.92470587,4261709.75827441,4261951.7562963
