"TestId","TagId","Date","Time","No.Nodes","x.est","y.est","x.ci.lower","x.ci.upper","y.ci.lower","y.ci.upper"
"072D524C 2021-08-03 16:36:00","072D524C","2021-08-03","16:36:00",3,411083.887653076,4261024.6447402,410881.228599363,411286.54670679,4260712.53438087,4261336.75509953
"072D524C 2021-08-03 16:39:00","072D524C","2021-08-03","16:39:00",4,411477.199262072,4261131.3256886,411423.619425912,411530.779098232,4261090.02194226,4261172.62943495
"072D524C 2021-08-03 16:45:00","072D524C","2021-08-03","16:45:00",4,411433.591261816,4261029.0590108,411273.641075032,411593.541448599,4260895.6469971,4261162.4710245
"072D524C 2021-08-03 16:48:00","072D524C","2021-08-03","16:48:00",3,411621.347372242,4261130.87716629,410813.993417585,412428.7013269,4260464.71156193,4261797.04277066
"072D524C 2021-08-03 16:51:00","072D524C","2021-08-03","16:51:00",3,411612.986169137,4261091.47538811,410248.864750188,412977.107588087,4259992.28339687,4262190.66737935
"072D524C 2021-08-03 17:06:00","072D524C","2021-08-03","17:06:00",3,411759.256510824,4261025.79082604,411308.850119055,412209.662902593,4260055.1295465,4261996.45210559
"072D524C 2021-08-03 17:09:00","072D524C","2021-08-03","17:09:00",5,411564.99142699,4261218.30070493,411392.625965933,411737.356888046,4261039.0166973,4261397.58471256
"072D524C 2021-08-03 17:12:00","072D524C","2021-08-03","17:12:00",5,411510.714596313,4261451.91294253,411475.406348087,411546.02284454,4261419.80904441,4261484.01684066
"072D524C 2021-08-03 17:15:00","072D524C","2021-08-03","17:15:00",5,411327.547306644,4261719.17574013,411219.179415949,411435.915197339,4261625.09109775,4261813.26038251
"072D524C 2021-08-03 17:18:00","072D524C","2021-08-03","17:18:00",7,411085.404446903,4261843.16154796,410995.483959957,411175.324933848,4261765.00520833,4261921.31788758
"072D524C 2021-08-03 17:21:00","072D524C","2021-08-03","17:21:00",5,411048.798815196,4261213.06530419,410901.896563284,411195.701067108,4261047.95942059,4261378.17118779
"072D524C 2021-08-03 17:24:00","072D524C","2021-08-03","17:24:00",5,411033.870961879,4261180.32905943,410838.940689322,411228.801234436,4261009.22486578,4261351.43325308
"072D524C 2021-08-03 17:27:00","072D524C","2021-08-03","17:27:00",5,411190.083214016,4261694.56637547,411005.559864376,411374.606563655,4261505.09741748,4261884.03533346
"072D524C 2021-08-03 17:30:00","072D524C","2021-08-03","17:30:00",6,411112.428122946,4261670.60557788,410986.83175895,411238.024486942,4261566.39486999,4261774.81628577
"072D524C 2021-08-03 17:33:00","072D524C","2021-08-03","17:33:00",5,411193.934915946,4261746.53502995,410842.56367096,411545.306160931,4261384.144988,4262108.9250719
"072D524C 2021-08-03 17:36:00","072D524C","2021-08-03","17:36:00",6,411059.393368979,4261559.42540794,410889.188567715,411229.598170242,4261378.53210551,4261740.31871037
"072D524C 2021-08-03 17:39:00","072D524C","2021-08-03","17:39:00",7,411015.852178594,4261754.62317246,410915.46922537,411116.235131818,4261647.81171003,4261861.43463489
"072D524C 2021-08-03 17:42:00","072D524C","2021-08-03","17:42:00",7,411064.043113773,4261872.13514402,410954.129898276,411173.95632927,4261773.73594064,4261970.5343474
"072D524C 2021-08-03 17:45:00","072D524C","2021-08-03","17:45:00",7,410962.996707699,4261902.31707504,410876.173370134,411049.820045265,4261802.28362916,4262002.35052093
"072D524C 2021-08-03 17:48:00","072D524C","2021-08-03","17:48:00",5,410710.5157817,4261855.02297783,410642.955451768,410778.076111632,4261788.9143447,4261921.13161096
"072D524C 2021-08-03 17:51:00","072D524C","2021-08-03","17:51:00",3,411300.190833004,4262243.50263328,411076.812359043,411523.569306965,4261423.30068796,4263063.7045786
"072D524C 2021-08-04 16:12:00","072D524C","2021-08-04","16:12:00",6,411488.039873347,4261280.59131403,411397.014956248,411579.064790446,4261211.03843069,4261350.14419736
