"","TestId","TagId","Date","Time","No.Nodes","x.est","y.est","x.ci.lower","x.ci.upper","y.ci.lower","y.ci.upper","DateTime","UnixTime"
"1","072D524C 2021-08-04 16:12:00","072D524C","2021-08-04","16:12:00",6,411488.039873347,4261280.59131403,411397.014956248,411579.064790446,4261211.03843069,4261350.14419736,2021-08-04 10:12:00,1628093520
"2","072D524C 2021-08-04 16:24:00","072D524C","2021-08-04","16:24:00",3,410929.90314247,4262156.46494364,410393.314220039,411466.492064902,4261491.57578461,4262821.35410268,2021-08-04 10:24:00,1628094240
"3","072D524C 2021-08-04 16:27:00","072D524C","2021-08-04","16:27:00",5,411053.844694092,4261717.49440835,410865.099650654,411242.58973753,4261485.2026619,4261949.78615479,2021-08-04 10:27:00,1628094420
"4","072D524C 2021-08-04 16:30:00","072D524C","2021-08-04","16:30:00",6,410851.6156561,4261866.64193727,410649.955072878,411053.276239322,4261670.25917231,4262063.02470223,2021-08-04 10:30:00,1628094600
"5","072D524C 2021-08-04 16:33:00","072D524C","2021-08-04","16:33:00",7,410878.82362797,4261833.35938551,410773.468709816,410984.178546124,4261745.08838607,4261921.63038495,2021-08-04 10:33:00,1628094780
"6","072D524C 2021-08-04 16:36:00","072D524C","2021-08-04","16:36:00",7,411183.174329762,4261736.17909009,411045.794228393,411320.554431132,4261608.08228285,4261864.27589732,2021-08-04 10:36:00,1628094960
"7","072D524C 2021-08-04 16:39:00","072D524C","2021-08-04","16:39:00",5,411433.670688766,4261722.92233582,411267.473109826,411599.868267705,4261536.08052104,4261909.76415061,2021-08-04 10:39:00,1628095140
"8","072D524C 2021-08-04 16:42:00","072D524C","2021-08-04","16:42:00",5,411379.058894753,4261562.86253363,411290.649917781,411467.467871725,4261445.0072413,4261680.71782597,2021-08-04 10:42:00,1628095320
"9","072D524C 2021-08-04 16:45:00","072D524C","2021-08-04","16:45:00",5,411404.438131553,4261707.83938977,411241.187521927,411567.688741179,4261536.75107423,4261878.9277053,2021-08-04 10:45:00,1628095500
"10","072D524C 2021-08-04 16:48:00","072D524C","2021-08-04","16:48:00",4,411407.17862292,4261654.41666679,411243.983751426,411570.373494415,4261537.65980659,4261771.17352698,2021-08-04 10:48:00,1628095680
"11","072D524C 2021-08-04 16:51:00","072D524C","2021-08-04","16:51:00",4,411414.474796123,4261667.94308624,411342.233700069,411486.715892177,4261615.58878393,4261720.29738855,2021-08-04 10:51:00,1628095860
"12","072D524C 2021-08-04 16:54:00","072D524C","2021-08-04","16:54:00",6,411405.102264209,4261742.95058976,411206.282294862,411603.922233555,4261518.68606361,4261967.2151159,2021-08-04 10:54:00,1628096040
"13","072D524C 2021-08-04 16:57:00","072D524C","2021-08-04","16:57:00",6,411391.866837999,4261740.38276842,411181.760256238,411601.973419759,4261514.05799047,4261966.70754638,2021-08-04 10:57:00,1628096220
"14","072D524C 2021-08-04 17:00:00","072D524C","2021-08-04","17:00:00",5,411296.737475177,4261810.15876913,411156.59330126,411436.881649094,4261628.07138807,4261992.24615018,2021-08-04 11:00:00,1628096400
"15","072D524C 2021-08-04 17:03:00","072D524C","2021-08-04","17:03:00",7,411324.122370842,4261793.54881158,411178.914631284,411469.330110401,4261644.88816578,4261942.20945739,2021-08-04 11:03:00,1628096580
"16","072D524C 2021-08-04 17:09:00","072D524C","2021-08-04","17:09:00",4,411331.772924437,4261942.41273061,410935.180731384,411728.365117489,4261659.2017026,4262225.62375862,2021-08-04 11:09:00,1628096940
"17","072D524C 2021-08-04 17:12:00","072D524C","2021-08-04","17:12:00",6,411302.982588236,4261814.23441182,411198.932896718,411407.032279754,4261702.11696917,4261926.35185447,2021-08-04 11:12:00,1628097120
"18","072D524C 2021-08-04 17:15:00","072D524C","2021-08-04","17:15:00",6,411167.221080318,4261793.65805208,410909.185901959,411425.256258676,4261519.56888188,4262067.74722228,2021-08-04 11:15:00,1628097300
