"","TestId","TagId","Date","Time","No.Nodes","x.est","y.est","x.ci.lower","x.ci.upper","y.ci.lower","y.ci.upper","DateTime","UnixTime"
"1","072D524C 2021-08-04 16:12:00","072D524C","2021-08-04","16:12:00",4,411607.923897088,4261482.54573689,411589.510213499,411626.337580677,4261467.7328119,4261497.35866189,2021-08-04 10:12:00,1628093520
"2","072D524C 2021-08-04 16:13:00","072D524C","2021-08-04","16:13:00",6,411438.149765221,4261272.3728521,411367.280980203,411509.01855024,4261214.24281595,4261330.50288824,2021-08-04 10:13:00,1628093580
"3","072D524C 2021-08-04 16:14:00","072D524C","2021-08-04","16:14:00",3,411435.778032529,4261307.99595692,410525.875017159,412345.681047899,4260454.20576588,4262161.78614796,2021-08-04 10:14:00,1628093640
"4","072D524C 2021-08-04 16:26:00","072D524C","2021-08-04","16:26:00",4,410859.161681767,4262317.17798102,410326.053775571,411392.269587962,4261962.17064522,4262672.18531681,2021-08-04 10:26:00,1628094360
"5","072D524C 2021-08-04 16:27:00","072D524C","2021-08-04","16:27:00",3,410832.918425579,4261191.24486803,410283.961399773,411381.875451386,4260505.03569003,4261877.45404604,2021-08-04 10:27:00,1628094420
"6","072D524C 2021-08-04 16:28:00","072D524C","2021-08-04","16:28:00",4,410384.833056961,4261847.03824397,409743.937507201,411025.72860672,4260631.52362198,4263062.55286595,2021-08-04 10:28:00,1628094480
"7","072D524C 2021-08-04 16:29:00","072D524C","2021-08-04","16:29:00",3,410654.802368493,4261746.7845582,409661.329174388,411648.275562598,4261053.01668302,4262440.55243338,2021-08-04 10:29:00,1628094540
"8","072D524C 2021-08-04 16:30:00","072D524C","2021-08-04","16:30:00",4,410626.894700528,4261860.36702352,410389.531662343,410864.257738713,4261580.06500159,4262140.66904546,2021-08-04 10:30:00,1628094600
"9","072D524C 2021-08-04 16:31:00","072D524C","2021-08-04","16:31:00",5,410726.476630784,4261886.53127388,410540.985920109,410911.967341459,4261689.56960141,4262083.49294635,2021-08-04 10:31:00,1628094660
"10","072D524C 2021-08-04 16:32:00","072D524C","2021-08-04","16:32:00",6,410859.653806808,4261856.56019443,410647.708731573,411071.598882042,4261660.28049337,4262052.83989549,2021-08-04 10:32:00,1628094720
"11","072D524C 2021-08-04 16:33:00","072D524C","2021-08-04","16:33:00",7,410877.877995891,4261869.23469608,410720.217303465,411035.538688316,4261737.39418615,4262001.07520601,2021-08-04 10:33:00,1628094780
"12","072D524C 2021-08-04 16:34:00","072D524C","2021-08-04","16:34:00",5,410880.338063522,4261834.06997484,410712.178339047,411048.497787996,4261677.02548117,4261991.11446852,2021-08-04 10:34:00,1628094840
"13","072D524C 2021-08-04 16:35:00","072D524C","2021-08-04","16:35:00",6,410915.556393962,4261830.75728536,410757.188082055,411073.92470587,4261709.75827441,4261951.7562963,2021-08-04 10:35:00,1628094900
"14","072D524C 2021-08-04 16:36:00","072D524C","2021-08-04","16:36:00",6,410922.384414914,4261864.0132279,410848.924444274,410995.844385555,4261790.39132169,4261937.63513411,2021-08-04 10:36:00,1628094960
"15","072D524C 2021-08-04 16:37:00","072D524C","2021-08-04","16:37:00",7,411169.738109197,4261727.63618912,411009.029904067,411330.446314326,4261591.55327251,4261863.71910573,2021-08-04 10:37:00,1628095020
"16","072D524C 2021-08-04 16:38:00","072D524C","2021-08-04","16:38:00",6,411389.729510256,4261689.18215044,411180.114204304,411599.344816208,4261497.94021848,4261880.42408239,2021-08-04 10:38:00,1628095080
"17","072D524C 2021-08-04 16:39:00","072D524C","2021-08-04","16:39:00",4,411444.705214987,4261682.38538165,411255.867575962,411633.542854012,4261539.88029173,4261824.89047158,2021-08-04 10:39:00,1628095140
"18","072D524C 2021-08-04 16:40:00","072D524C","2021-08-04","16:40:00",5,411436.383724153,4261722.6612481,411270.425085257,411602.34236305,4261536.12309996,4261909.19939623,2021-08-04 10:40:00,1628095200
"19","072D524C 2021-08-04 16:41:00","072D524C","2021-08-04","16:41:00",5,411431.930285195,4261736.59006193,411228.617080836,411635.243489554,4261498.64946397,4261974.53065988,2021-08-04 10:41:00,1628095260
"20","072D524C 2021-08-04 16:42:00","072D524C","2021-08-04","16:42:00",5,411363.585090912,4261586.74653234,411217.050453292,411510.119728532,4261415.49201396,4261758.00105072,2021-08-04 10:42:00,1628095320
"21","072D524C 2021-08-04 16:43:00","072D524C","2021-08-04","16:43:00",4,411385.443283444,4261586.66354449,411165.217459085,411605.669107803,4261331.64299551,4261841.68409347,2021-08-04 10:43:00,1628095380
"22","072D524C 2021-08-04 16:44:00","072D524C","2021-08-04","16:44:00",7,411472.46561329,4261601.93230566,411299.405410108,411645.525816472,4261453.03945787,4261750.82515345,2021-08-04 10:44:00,1628095440
"23","072D524C 2021-08-04 16:45:00","072D524C","2021-08-04","16:45:00",5,411403.279290827,4261703.63223374,411165.00346378,411641.555117874,4261457.20829411,4261950.05617336,2021-08-04 10:45:00,1628095500
"24","072D524C 2021-08-04 16:46:00","072D524C","2021-08-04","16:46:00",4,411418.591100204,4261642.78606786,411259.230214369,411577.951986039,4261492.48864276,4261793.08349295,2021-08-04 10:46:00,1628095560
"25","072D524C 2021-08-04 16:47:00","072D524C","2021-08-04","16:47:00",4,411410.055966067,4261664.85272807,411312.834135439,411507.277796695,4261594.3930908,4261735.31236534,2021-08-04 10:47:00,1628095620
"26","072D524C 2021-08-04 16:48:00","072D524C","2021-08-04","16:48:00",4,411398.073300614,4261658.89559899,411235.520549017,411560.626052211,4261538.93001298,4261778.86118501,2021-08-04 10:48:00,1628095680
"27","072D524C 2021-08-04 16:49:00","072D524C","2021-08-04","16:49:00",4,411394.474037507,4261649.75113987,411256.481194106,411532.466880907,4261547.4470704,4261752.05520934,2021-08-04 10:49:00,1628095740
"28","072D524C 2021-08-04 16:50:00","072D524C","2021-08-04","16:50:00",4,411400.015015362,4261659.5075812,411244.120594934,411555.909435791,4261544.96730445,4261774.04785795,2021-08-04 10:50:00,1628095800
"29","072D524C 2021-08-04 16:51:00","072D524C","2021-08-04","16:51:00",5,411404.19318638,4261672.64660885,411330.72349039,411477.662882371,4261610.68144113,4261734.61177658,2021-08-04 10:51:00,1628095860
"30","072D524C 2021-08-04 16:52:00","072D524C","2021-08-04","16:52:00",4,411426.043685083,4261671.30326385,411333.001876605,411519.085493561,4261582.31858467,4261760.28794303,2021-08-04 10:52:00,1628095920
"31","072D524C 2021-08-04 16:53:00","072D524C","2021-08-04","16:53:00",4,411390.079857144,4261687.19405875,411295.933833655,411484.225880633,4261614.00856886,4261760.37954865,2021-08-04 10:53:00,1628095980
"32","072D524C 2021-08-04 16:54:00","072D524C","2021-08-04","16:54:00",6,411458.99184782,4261603.08548969,411302.887108372,411615.096587267,4261459.31020878,4261746.8607706,2021-08-04 10:54:00,1628096040
"33","072D524C 2021-08-04 16:55:00","072D524C","2021-08-04","16:55:00",6,411401.09021419,4261740.9639381,411186.732707524,411615.447720855,4261503.37461308,4261978.55326313,2021-08-04 10:55:00,1628096100
